1344/100/1207|Bacardi|https://cdn.discordapp.com/attachments/469290305292730368/851659880503050260/SPOILER_EXAPUNKS_-_Sawayama_WonderDisc_1344_100_1207_2021-06-08-05-10-59.gif|CS,CA,cCS,cCA
1546/100/200|Bacardi||
1567/100/195|Bacardi||
1643/97/193|Bacardi||
1880/96/674|Grimmy||
2049/88/1246|Grimmy||
2110/88/1244|Grimmy||
2193/85/664|Grimmy||
2320/98/62|Theophiphile||
2325/100/3|Theophiphile||AC,cAC
2364/88/3|Theophiphile||
2577/84/100|xtvb||
2946/75/242|Grimmy||
4605/40/124|Grimmy||
5614/48/64|yut23||
6400/41/62|darkgiggs||
6404/38/62|darkgiggs||
6553/58/3|Programmatic||
6659/44/3|shuffleskye|https://i.imgur.com/uo16zys.gif|AS,cAS
7314/32/94|Grimmy||
38142/31/94|Grimmy||SC,SA,cSC,cSA
