36/15/72|Community|https://i.imgur.com/aVQJcwM.gif|CS,cCS
36/41/42|Snowball||
36/43/13|Grimmy||
36/47/12|Grimmy|https://i.imgur.com/yrkusLT.gif|CA,cCA
37/36/6|ButtermilkDoughnut||
38/39/5|Grimmy|https://i.imgur.com/FJuDmAm.gif|AC,cAC
39/11/171|aisje||
42/17/70|negative_seven||
46/19/8|yut23||
46/21/6|ButtermilkDoughnut||
47/22/5|xtvb||
53/11/128|xtvb||
72/10/131|Programmatic||
74/9/133|Grimmy|https://i.imgur.com/14XBGdN.gif|SC,SA,cSC,cSA
86/10/128|negative_seven||
93/13/127|aisje||
98/13/122|GuiltyBystander||
123/14/6|yut23||
124/14/5|Grimmy|https://i.imgur.com/TI7oQoO.gif|AS,cAS
126/11/122|ButtermilkDoughnut||
130/10/125|darkgiggs||
155/13/6|yut23||
